image,tool,words_total,found,missed,coverage_pct,invented_boxes,mean_iou
IMG_051.jpg,paddle,60,60,0,100.0,1,
IMG_052.jpg,paddle,0,0,0,,9,
IMG_053.jpg,paddle,0,0,0,,7,
IMG_054.jpg,paddle,0,0,0,,5,
IMG_055.jpg,paddle,22,22,0,100.0,14,
IMG_057.jpg,paddle,317,317,0,100.0,29,
IMG_058.jpg,paddle,17,16,1,94.12,0,
IMG_059.jpg,paddle,137,136,1,99.27,3,
IMG_060.jpg,paddle,17,16,1,94.12,0,
IMG_061.jpg,paddle,15,14,1,93.33,0,
IMG_071.jpg,paddle,99,99,0,100.0,0,
IMG_075.jpg,paddle,2,0,2,0.0,5,
IMG_076.jpg,paddle,11,11,0,100.0,1,
IMG_078.jpg,paddle,5,5,0,100.0,0,
IMG_081.jpg,paddle,18,18,0,100.0,0,
IMG_082.jpg,paddle,0,0,0,,11,
IMG_085.jpg,paddle,66,66,0,100.0,2,
IMG_086.jpg,paddle,279,263,16,94.27,41,
IMG_088.jpg,paddle,16,15,1,93.75,0,
IMG_089.jpg,paddle,109,109,0,100.0,0,
IMG_090.jpg,paddle,18,17,1,94.44,0,
IMG_091.jpg,paddle,14,13,1,92.86,0,
IMG_093.jpg,paddle,21,21,0,100.0,0,
IMG_095.jpg,paddle,242,63,179,26.03,79,
IMG_096.jpg,paddle,17,16,1,94.12,0,
IMG_098.jpg,paddle,258,258,0,100.0,0,
IMG_051.jpg,tesseract,60,52,8,86.67,2,0.6696
IMG_052.jpg,tesseract,0,0,0,,16,
IMG_053.jpg,tesseract,0,0,0,,21,
IMG_054.jpg,tesseract,0,0,0,,29,
IMG_055.jpg,tesseract,22,18,4,81.82,2,0.7318
IMG_057.jpg,tesseract,317,281,36,88.64,47,0.692
IMG_058.jpg,tesseract,17,8,9,47.06,1,0.6629
IMG_059.jpg,tesseract,137,109,28,79.56,11,0.6724
IMG_060.jpg,tesseract,17,15,2,88.24,2,0.6673
IMG_061.jpg,tesseract,15,11,4,73.33,3,0.6735
IMG_071.jpg,tesseract,99,83,16,83.84,1,0.6734
IMG_075.jpg,tesseract,2,0,2,0.0,11,0.0
IMG_076.jpg,tesseract,11,0,11,0.0,0,0.0
IMG_078.jpg,tesseract,5,0,5,0.0,0,0.0
IMG_081.jpg,tesseract,18,17,1,94.44,3,0.6619
IMG_082.jpg,tesseract,0,0,0,,31,
IMG_085.jpg,tesseract,66,59,7,89.39,1,0.7835
IMG_086.jpg,tesseract,279,254,25,91.04,64,0.6966
IMG_088.jpg,tesseract,16,13,3,81.25,3,0.6554
IMG_089.jpg,tesseract,109,101,8,92.66,6,0.7354
IMG_090.jpg,tesseract,18,13,5,72.22,0,0.7184
IMG_091.jpg,tesseract,14,9,5,64.29,3,0.612
IMG_093.jpg,tesseract,21,19,2,90.48,0,0.6964
IMG_095.jpg,tesseract,242,225,17,92.98,1022,0.7249
IMG_096.jpg,tesseract,17,13,4,76.47,1,0.6046
IMG_098.jpg,tesseract,258,229,29,88.76,0,0.7246
